module_id,seq_id,domain_type,canonical_domain_type,kingdom,reaction_labels,has_no_reactions
marts_E00042_alpha_0,marts_E00042,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00770_beta_0,marts_E00770,beta,beta,Plants,['sesq Class 1'],False
marts_E00770_alpha_0,marts_E00770,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00689_beta_0,marts_E00689,beta,beta,Plants,['sesq Class 1'],False
marts_E00689_alpha_0,marts_E00689,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01099_beta_0,marts_E01099,beta,beta,Plants,['sesq Class 1'],False
marts_E01099_alpha_0,marts_E01099,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00609_beta_0,marts_E00609,beta,beta,Plants,['sesq Class 1'],False
marts_E00609_alpha_0,marts_E00609,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01044_beta_0,marts_E01044,beta,beta,Plants,['sesq Class 1'],False
marts_E01044_alpha_0,marts_E01044,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00634_beta_0,marts_E00634,beta,beta,Plants,['sesq Class 1'],False
marts_E00634_alpha_0,marts_E00634,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00005_beta_0,marts_E00005,beta,beta,Plants,['di Class 1'],False
marts_E00005_alpha_0,marts_E00005,alpha,alpha,Plants,['di Class 1'],False
marts_E00515_beta_0,marts_E00515,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00515_alpha_0,marts_E00515,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00826_alpha_0,marts_E00826,alpha,alpha,Animals,['sesq Class 1'],False
marts_E00027_alpha_0,marts_E00027,alpha,alpha,Animals,['di Class 1'],False
marts_E00649_alpha_0,marts_E00649,alpha,alpha,Animals,['sesq Class 1'],False
marts_E00508_ids_0,marts_E00508,ids,alpha,Animals,['pt'],False
marts_E00697_alpha_0,marts_E00697,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E00257_ids_0,marts_E00257,ids,alpha,Plants,['pt'],False
marts_E00479_ids_0,marts_E00479,ids,alpha,Plants,['pt'],False
marts_E01355_alpha_0,marts_E01355,alpha,alpha,Bacteria,['di Class 1'],False
marts_E00901_alpha_0,marts_E00901,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E00972_alpha_0,marts_E00972,alpha,alpha,Bacteria,['mono Class 1'],False
marts_E01272_alpha_0,marts_E01272,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E01482_ids_0,marts_E01482,ids,alpha,Bacteria,['di Class 1'],False
marts_E00877_alpha_0,marts_E00877,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E01065_alpha_0,marts_E01065,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01324_alpha_0,marts_E01324,alpha,alpha,Bacteria,['sester Class 1'],False
marts_E01340_alpha_0,marts_E01340,alpha,alpha,Bacteria,['di Class 1'],False
marts_E01342_alpha_0,marts_E01342,alpha,alpha,Bacteria,['di Class 1'],False
marts_E00446_ids_0,marts_E00446,ids,alpha,Fungi,['pt'],False
marts_E00011_ids_0,marts_E00011,ids,alpha,Fungi,['pt'],False
marts_E01306_alpha_0,marts_E01306,alpha,alpha,Protists,['sesq Class 1'],False
marts_E00645_alpha_0,marts_E00645,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00947_alpha_0,marts_E00947,alpha,alpha,Fungi,"['mono Class 1', 'sesq Class 1']",False
marts_E00137_ids_0,marts_E00137,ids,alpha,Plants,['pt'],False
marts_E00412_ids_0,marts_E00412,ids,alpha,Bacteria,['sqs'],False
marts_E00540_ids_0,marts_E00540,ids,alpha,Bacteria,['pt'],False
marts_E00106_gamma_0,marts_E00106,gamma,gamma,Fungi,"['di Class 1', 'di Class 2']",False
marts_E00106_alpha_0,marts_E00106,alpha,alpha,Fungi,"['di Class 1', 'di Class 2']",False
marts_E00106_delta_0,marts_E00106,delta,delta,Fungi,"['di Class 1', 'di Class 2']",False
marts_E01177_beta_0,marts_E01177,beta,beta,Plants,['sesq Class 1'],False
marts_E01177_gamma_0,marts_E01177,gamma,gamma,Plants,['sesq Class 1'],False
marts_E01177_alpha_0,marts_E01177,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00428_beta_0,marts_E00428,beta,beta,Plants,['di Class 1'],False
marts_E00428_gamma_0,marts_E00428,gamma,gamma,Plants,['di Class 1'],False
marts_E00428_alpha_0,marts_E00428,alpha,alpha,Plants,['di Class 1'],False
marts_E00101_beta_0,marts_E00101,beta,beta,Plants,['di Class 1'],False
marts_E00101_gamma_0,marts_E00101,gamma,gamma,Plants,['di Class 1'],False
marts_E00101_alpha_0,marts_E00101,alpha,alpha,Plants,['di Class 1'],False
marts_E00274_beta_0,marts_E00274,beta,beta,Plants,['di Class 2'],False
marts_E00274_gamma_0,marts_E00274,gamma,gamma,Plants,['di Class 2'],False
marts_E00274_alpha_0,marts_E00274,alpha,alpha,Plants,['di Class 2'],False
marts_E00663_beta_0,marts_E00663,beta,beta,Plants,"['di Class 1', 'di Class 2']",False
marts_E00663_gamma_0,marts_E00663,gamma,gamma,Plants,"['di Class 1', 'di Class 2']",False
marts_E00663_alpha_0,marts_E00663,alpha,alpha,Plants,"['di Class 1', 'di Class 2']",False
marts_E00103_alpha_0,marts_E00103,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E00103_alpha_1,marts_E00103,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E01110_ids_0,marts_E01110,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01110_alpha_0,marts_E01110,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01249_ids_0,marts_E01249,ids,alpha,Fungi,"['di Class 1', 'pt', 'sester Class 1']",False
marts_E01249_alpha_0,marts_E01249,alpha,alpha,Fungi,"['di Class 1', 'pt', 'sester Class 1']",False
marts_E01228_ids_0,marts_E01228,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01228_alpha_0,marts_E01228,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01518_ids_0,marts_E01518,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01518_alpha_0,marts_E01518,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E00693_beta_0,marts_E00693,beta,beta,Plants,['di Class 2'],False
marts_E00693_gamma_0,marts_E00693,gamma,gamma,Plants,['di Class 2'],False
marts_E00693_alpha_0,marts_E00693,alpha,alpha,Plants,['di Class 2'],False
marts_E00799_beta_0,marts_E00799,beta,beta,Plants,['di Class 1'],False
marts_E00799_alpha_0,marts_E00799,alpha,alpha,Plants,['di Class 1'],False
marts_E00736_beta_0,marts_E00736,beta,beta,Plants,['mono Class 1'],False
marts_E00736_alpha_0,marts_E00736,alpha,alpha,Plants,['mono Class 1'],False
marts_E00840_beta_0,marts_E00840,beta,beta,Plants,['sesq Class 1'],False
marts_E00840_alpha_0,marts_E00840,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01529_beta_0,marts_E01529,beta,beta,Plants,"['di Class 1', 'sesq Class 1', 'sester Class 1']",False
marts_E01529_alpha_0,marts_E01529,alpha,alpha,Plants,"['di Class 1', 'sesq Class 1', 'sester Class 1']",False
marts_E00343_beta_0,marts_E00343,beta,beta,Plants,['mono Class 1'],False
marts_E00343_alpha_0,marts_E00343,alpha,alpha,Plants,['mono Class 1'],False
marts_E01197_beta_0,marts_E01197,beta,beta,Plants,['mono Class 1'],False
marts_E01197_alpha_0,marts_E01197,alpha,alpha,Plants,['mono Class 1'],False
marts_E00699_beta_0,marts_E00699,beta,beta,Plants,['mono Class 1'],False
marts_E00699_alpha_0,marts_E00699,alpha,alpha,Plants,['mono Class 1'],False
marts_E00303_beta_0,marts_E00303,beta,beta,Plants,['hemi Class 1'],False
marts_E00303_alpha_0,marts_E00303,alpha,alpha,Plants,['hemi Class 1'],False
marts_E01501_beta_0,marts_E01501,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01501_alpha_0,marts_E01501,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01239_beta_0,marts_E01239,beta,beta,Plants,['sesq Class 1'],False
marts_E01239_alpha_0,marts_E01239,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01481_beta_0,marts_E01481,beta,beta,Plants,['mono Class 1'],False
marts_E01481_alpha_0,marts_E01481,alpha,alpha,Plants,['mono Class 1'],False
marts_E00604_beta_0,marts_E00604,beta,beta,Plants,['mono Class 1'],False
marts_E00604_alpha_0,marts_E00604,alpha,alpha,Plants,['mono Class 1'],False
marts_E00633_beta_0,marts_E00633,beta,beta,Plants,['sesq Class 1'],False
marts_E00633_alpha_0,marts_E00633,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00910_beta_0,marts_E00910,beta,beta,Plants,['sesq Class 1'],False
marts_E00910_alpha_0,marts_E00910,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00755_beta_0,marts_E00755,beta,beta,Plants,['sesq Class 1'],False
marts_E00755_alpha_0,marts_E00755,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01333_beta_0,marts_E01333,beta,beta,Plants,['sesq Class 1'],False
marts_E01333_alpha_0,marts_E01333,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01043_beta_0,marts_E01043,beta,beta,Plants,['sesq Class 1'],False
marts_E01043_alpha_0,marts_E01043,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01384_beta_0,marts_E01384,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01384_alpha_0,marts_E01384,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00907_beta_0,marts_E00907,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00907_alpha_0,marts_E00907,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00601_beta_0,marts_E00601,beta,beta,Plants,['sesq Class 1'],False
marts_E00601_alpha_0,marts_E00601,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01475_beta_0,marts_E01475,beta,beta,Plants,['sesq Class 1'],False
marts_E01475_alpha_0,marts_E01475,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01181_beta_0,marts_E01181,beta,beta,Plants,['sesq Class 1'],False
marts_E01181_alpha_0,marts_E01181,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00843_beta_0,marts_E00843,beta,beta,Plants,['sesq Class 1'],False
marts_E00843_alpha_0,marts_E00843,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00835_beta_0,marts_E00835,beta,beta,Plants,['sesq Class 1'],False
marts_E00835_alpha_0,marts_E00835,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01502_beta_0,marts_E01502,beta,beta,Plants,['sesq Class 1'],False
marts_E01502_alpha_0,marts_E01502,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01039_beta_0,marts_E01039,beta,beta,Plants,['sesq Class 1'],False
marts_E01039_alpha_0,marts_E01039,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00033_beta_0,marts_E00033,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00033_alpha_0,marts_E00033,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00790_beta_0,marts_E00790,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00790_alpha_0,marts_E00790,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00656_beta_0,marts_E00656,beta,beta,Plants,['mono Class 1'],False
marts_E00656_alpha_0,marts_E00656,alpha,alpha,Plants,['mono Class 1'],False
marts_E00039_alpha_0,marts_E00039,alpha,alpha,Animals,['sesq Class 1'],False
marts_E00040_alpha_0,marts_E00040,alpha,alpha,Animals,"['di Class 1', 'mono Class 1', 'sesq Class 1']",False
marts_E00127_ids_0,marts_E00127,ids,alpha,Protists,['pt'],False
marts_E01106_ids_0,marts_E01106,ids,alpha,Animals,['sesq Class 1'],False
marts_E00544_ids_0,marts_E00544,ids,alpha,Plants,['pt'],False
marts_E00557_ids_0,marts_E00557,ids,alpha,Plants,['pt'],False
marts_E00618_alpha_0,marts_E00618,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00526_ids_0,marts_E00526,ids,alpha,Plants,['psy'],False
marts_E00445_alpha_0,marts_E00445,alpha,alpha,Protists,"['mono Class 1', 'sesq Class 1']",False
marts_E01271_alpha_0,marts_E01271,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E01086_alpha_0,marts_E01086,alpha,alpha,Protists,['sesq Class 1'],False
marts_E00749_ids_0,marts_E00749,ids,alpha,Fungi,['pt'],False
marts_E01046_alpha_0,marts_E01046,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E01192_alpha_0,marts_E01192,alpha,alpha,Bacteria,['di Class 1'],False
marts_E00450_alpha_0,marts_E00450,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E01445_alpha_0,marts_E01445,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00879_alpha_0,marts_E00879,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00528_ids_0,marts_E00528,ids,alpha,Animals,['pt'],False
marts_E00172_alpha_0,marts_E00172,alpha,alpha,Bacteria,"['di Class 1', 'sesq Class 1']",False
marts_E01020_ids_0,marts_E01020,ids,alpha,Animals,['mono Class 1'],False
marts_E01089_alpha_0,marts_E01089,alpha,alpha,Fungi,['mono Class 1'],False
marts_E00829_ids_0,marts_E00829,ids,alpha,Bacteria,['di Class 1'],False
marts_E00322_ids_0,marts_E00322,ids,alpha,Viruses,['pt'],False
marts_E00566_gamma_0,marts_E00566,gamma,gamma,Fungi,"['di Class 1', 'di Class 2']",False
marts_E00566_alpha_0,marts_E00566,alpha,alpha,Fungi,"['di Class 1', 'di Class 2']",False
marts_E00566_delta_0,marts_E00566,delta,delta,Fungi,"['di Class 1', 'di Class 2']",False
marts_E00310_beta_0,marts_E00310,beta,beta,Plants,['di Class 1'],False
marts_E00310_gamma_0,marts_E00310,gamma,gamma,Plants,['di Class 1'],False
marts_E00310_alpha_0,marts_E00310,alpha,alpha,Plants,['di Class 1'],False
marts_E01198_beta_0,marts_E01198,beta,beta,Plants,['di Class 1'],False
marts_E01198_gamma_0,marts_E01198,gamma,gamma,Plants,['di Class 1'],False
marts_E01198_alpha_0,marts_E01198,alpha,alpha,Plants,['di Class 1'],False
marts_E01431_beta_0,marts_E01431,beta,beta,Plants,['di Class 2'],False
marts_E01431_gamma_0,marts_E01431,gamma,gamma,Plants,['di Class 2'],False
marts_E01431_alpha_0,marts_E01431,alpha,alpha,Plants,['di Class 2'],False
marts_E01504_beta_0,marts_E01504,beta,beta,Plants,['di Class 1'],False
marts_E01504_gamma_0,marts_E01504,gamma,gamma,Plants,['di Class 1'],False
marts_E01504_alpha_0,marts_E01504,alpha,alpha,Plants,['di Class 1'],False
marts_E01299_beta_0,marts_E01299,beta,beta,Plants,['di Class 2'],False
marts_E01299_gamma_0,marts_E01299,gamma,gamma,Plants,['di Class 2'],False
marts_E01299_alpha_0,marts_E01299,alpha,alpha,Plants,['di Class 2'],False
marts_E00019_ids_0,marts_E00019,ids,alpha,Fungi,"['di Class 1', 'pt']",False
marts_E00019_alpha_0,marts_E00019,alpha,alpha,Fungi,"['di Class 1', 'pt']",False
marts_E00784_beta_0,marts_E00784,beta,beta,Plants,['di Class 2'],False
marts_E00784_gamma_0,marts_E00784,gamma,gamma,Plants,['di Class 2'],False
marts_E00784_alpha_0,marts_E00784,alpha,alpha,Plants,['di Class 2'],False
marts_E00994_ids_0,marts_E00994,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E00994_alpha_0,marts_E00994,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E00620_beta_0,marts_E00620,beta,beta,Plants,['di Class 2'],False
marts_E00620_gamma_0,marts_E00620,gamma,gamma,Plants,['di Class 2'],False
marts_E00620_alpha_0,marts_E00620,alpha,alpha,Plants,['di Class 2'],False
marts_E01241_beta_0,marts_E01241,beta,beta,Plants,['di Class 2'],False
marts_E01241_gamma_0,marts_E01241,gamma,gamma,Plants,['di Class 2'],False
marts_E01241_ids_0,marts_E01241,ids,alpha,Plants,['di Class 2'],False
marts_E01374_beta_0,marts_E01374,beta,beta,Plants,['mono Class 1'],False
marts_E01374_alpha_0,marts_E01374,alpha,alpha,Plants,['mono Class 1'],False
marts_E01385_beta_0,marts_E01385,beta,beta,Plants,['mono Class 1'],False
marts_E01385_alpha_0,marts_E01385,alpha,alpha,Plants,['mono Class 1'],False
marts_E00737_beta_0,marts_E00737,beta,beta,Plants,['mono Class 1'],False
marts_E00737_alpha_0,marts_E00737,alpha,alpha,Plants,['mono Class 1'],False
marts_E00153_beta_0,marts_E00153,beta,beta,Plants,['mono Class 1'],False
marts_E00153_alpha_0,marts_E00153,alpha,alpha,Plants,['mono Class 1'],False
marts_E01528_beta_0,marts_E01528,beta,beta,Plants,['sesq Class 1'],False
marts_E01528_alpha_0,marts_E01528,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00250_beta_0,marts_E00250,beta,beta,Plants,['mono Class 1'],False
marts_E00250_alpha_0,marts_E00250,alpha,alpha,Plants,['mono Class 1'],False
marts_E00223_beta_0,marts_E00223,beta,beta,Plants,['mono Class 1'],False
marts_E00223_alpha_0,marts_E00223,alpha,alpha,Plants,['mono Class 1'],False
marts_E00167_beta_0,marts_E00167,beta,beta,Plants,['mono Class 1'],False
marts_E00167_alpha_0,marts_E00167,alpha,alpha,Plants,['mono Class 1'],False
marts_E01238_beta_0,marts_E01238,beta,beta,Plants,['sesq Class 1'],False
marts_E01238_alpha_0,marts_E01238,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00035_beta_0,marts_E00035,beta,beta,Plants,['sesq Class 1'],False
marts_E00035_alpha_0,marts_E00035,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00365_beta_0,marts_E00365,beta,beta,Plants,['sesq Class 1'],False
marts_E00365_alpha_0,marts_E00365,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00227_beta_0,marts_E00227,beta,beta,Plants,['mono Class 1'],False
marts_E00227_alpha_0,marts_E00227,alpha,alpha,Plants,['mono Class 1'],False
marts_E01040_beta_0,marts_E01040,beta,beta,Plants,['sesq Class 1'],False
marts_E01040_alpha_0,marts_E01040,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00851_beta_0,marts_E00851,beta,beta,Plants,['sesq Class 1'],False
marts_E00851_alpha_0,marts_E00851,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00785_beta_0,marts_E00785,beta,beta,Plants,['mono Class 1'],False
marts_E00785_alpha_0,marts_E00785,alpha,alpha,Plants,['mono Class 1'],False
marts_E00374_beta_0,marts_E00374,beta,beta,Plants,['sesq Class 1'],False
marts_E00374_alpha_0,marts_E00374,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01428_beta_0,marts_E01428,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01428_alpha_0,marts_E01428,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00822_beta_0,marts_E00822,beta,beta,Plants,['sesq Class 1'],False
marts_E00822_alpha_0,marts_E00822,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00615_beta_0,marts_E00615,beta,beta,Plants,['sesq Class 1'],False
marts_E00615_alpha_0,marts_E00615,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00631_beta_0,marts_E00631,beta,beta,Plants,['sesq Class 1'],False
marts_E00631_alpha_0,marts_E00631,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00792_beta_0,marts_E00792,beta,beta,Plants,['mono Class 1'],False
marts_E00792_alpha_0,marts_E00792,alpha,alpha,Plants,['mono Class 1'],False
marts_E01100_beta_0,marts_E01100,beta,beta,Plants,['sesq Class 1'],False
marts_E01100_alpha_0,marts_E01100,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00319_beta_0,marts_E00319,beta,beta,Plants,['mono Class 1'],False
marts_E00319_alpha_0,marts_E00319,alpha,alpha,Plants,['mono Class 1'],False
marts_E00773_beta_0,marts_E00773,beta,beta,Plants,['sesq Class 1'],False
marts_E00773_alpha_0,marts_E00773,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00600_beta_0,marts_E00600,beta,beta,Plants,['sesq Class 1'],False
marts_E00600_alpha_0,marts_E00600,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01057_beta_0,marts_E01057,beta,beta,Plants,['sesq Class 1'],False
marts_E01057_alpha_0,marts_E01057,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00727_beta_0,marts_E00727,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00727_alpha_0,marts_E00727,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01149_beta_0,marts_E01149,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01149_alpha_0,marts_E01149,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00158_beta_0,marts_E00158,beta,beta,Plants,['sesq Class 1'],False
marts_E00158_alpha_0,marts_E00158,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00882_alpha_0,marts_E00882,alpha,alpha,Animals,['di Class 1'],False
marts_E01179_alpha_0,marts_E01179,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01422_alpha_0,marts_E01422,alpha,alpha,Bacteria,['di Class 1'],False
marts_E01105_ids_0,marts_E01105,ids,alpha,Animals,['pt'],False
marts_E01226_ids_0,marts_E01226,ids,alpha,Animals,"['mono Class 1', 'sesq Class 1']",False
marts_E00619_alpha_0,marts_E00619,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00166_ids_0,marts_E00166,ids,alpha,Fungi,['pt'],False
marts_E00349_alpha_0,marts_E00349,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E01469_alpha_0,marts_E01469,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E01513_ids_0,marts_E01513,ids,alpha,Bacteria,['di Class 1'],False
marts_E01190_alpha_0,marts_E01190,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01433_alpha_0,marts_E01433,alpha,alpha,Bacteria,['di Class 1'],False
marts_E01320_alpha_0,marts_E01320,alpha,alpha,Bacteria,['sesq Class 1'],False
marts_E00891_alpha_0,marts_E00891,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00743_alpha_0,marts_E00743,alpha,alpha,Protists,"['mono Class 1', 'sesq Class 1']",False
marts_E01085_alpha_0,marts_E01085,alpha,alpha,Protists,['sesq Class 1'],False
marts_E01405_alpha_0,marts_E01405,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00865_alpha_0,marts_E00865,alpha,alpha,Fungi,['sesq Class 1'],False
marts_E00009_alpha_0,marts_E00009,alpha,alpha,Bacteria,['di Class 1'],False
marts_E01362_alpha_0,marts_E01362,alpha,alpha,Bacteria,['di Class 1'],False
marts_E00638_alpha_0,marts_E00638,alpha,alpha,Bacteria,['di Class 1'],False
marts_E01308_alpha_0,marts_E01308,alpha,alpha,Bacteria,['di Class 1'],False
marts_E00097_ids_0,marts_E00097,ids,alpha,Plants,['pt'],False
marts_E00518_ids_0,marts_E00518,ids,alpha,Viruses,['pt'],False
marts_E00175_gamma_0,marts_E00175,gamma,gamma,Fungi,"['di Class 1', 'di Class 2']",False
marts_E00175_delta_0,marts_E00175,delta,delta,Fungi,"['di Class 1', 'di Class 2']",False
marts_E00175_alpha_0,marts_E00175,alpha,alpha,Fungi,"['di Class 1', 'di Class 2']",False
marts_E00968_beta_0,marts_E00968,beta,beta,Plants,['di Class 1'],False
marts_E00968_gamma_0,marts_E00968,gamma,gamma,Plants,['di Class 1'],False
marts_E00968_alpha_0,marts_E00968,alpha,alpha,Plants,['di Class 1'],False
marts_E00062_beta_0,marts_E00062,beta,beta,Plants,['di Class 1'],False
marts_E00062_gamma_0,marts_E00062,gamma,gamma,Plants,['di Class 1'],False
marts_E00062_alpha_0,marts_E00062,alpha,alpha,Plants,['di Class 1'],False
marts_E00313_beta_0,marts_E00313,beta,beta,Plants,"['di Class 1', 'di Class 2']",False
marts_E00313_gamma_0,marts_E00313,gamma,gamma,Plants,"['di Class 1', 'di Class 2']",False
marts_E00313_alpha_0,marts_E00313,alpha,alpha,Plants,"['di Class 1', 'di Class 2']",False
marts_E00815_beta_0,marts_E00815,beta,beta,Plants,['di Class 2'],False
marts_E00815_gamma_0,marts_E00815,gamma,gamma,Plants,['di Class 2'],False
marts_E00815_alpha_0,marts_E00815,alpha,alpha,Plants,['di Class 2'],False
marts_E00641_beta_0,marts_E00641,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00641_alpha_0,marts_E00641,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00641_gamma_0,marts_E00641,gamma,gamma,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00997_ids_0,marts_E00997,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E00997_alpha_0,marts_E00997,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01210_ids_0,marts_E01210,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01210_alpha_0,marts_E01210,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01107_ids_0,marts_E01107,ids,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01107_alpha_0,marts_E01107,alpha,alpha,Fungi,"['pt', 'sester Class 1']",False
marts_E01252_beta_0,marts_E01252,beta,beta,Plants,['di Class 2'],False
marts_E01252_gamma_0,marts_E01252,gamma,gamma,Plants,['di Class 2'],False
marts_E01252_alpha_0,marts_E01252,alpha,alpha,Plants,['di Class 2'],False
marts_E01379_beta_0,marts_E01379,beta,beta,Plants,['mono Class 1'],False
marts_E01379_alpha_0,marts_E01379,alpha,alpha,Plants,['mono Class 1'],False
marts_E00630_beta_0,marts_E00630,beta,beta,Plants,['mono Class 1'],False
marts_E00630_alpha_0,marts_E00630,alpha,alpha,Plants,['mono Class 1'],False
marts_E00850_beta_0,marts_E00850,beta,beta,Plants,['mono Class 1'],False
marts_E00850_alpha_0,marts_E00850,alpha,alpha,Plants,['mono Class 1'],False
marts_E00732_beta_0,marts_E00732,beta,beta,Plants,['mono Class 1'],False
marts_E00732_alpha_0,marts_E00732,alpha,alpha,Plants,['mono Class 1'],False
marts_E00698_beta_0,marts_E00698,beta,beta,Plants,['mono Class 1'],False
marts_E00698_alpha_0,marts_E00698,alpha,alpha,Plants,['mono Class 1'],False
marts_E01373_beta_0,marts_E01373,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01373_alpha_0,marts_E01373,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00276_beta_0,marts_E00276,beta,beta,Plants,['sesq Class 1'],False
marts_E00276_alpha_0,marts_E00276,alpha,alpha,Plants,['sesq Class 1'],False
marts_E01524_beta_0,marts_E01524,beta,beta,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E01524_alpha_0,marts_E01524,alpha,alpha,Plants,"['mono Class 1', 'sesq Class 1']",False
marts_E00059_beta_0,marts_E00059,beta,beta,Plants,['sesq Class 1'],False
marts_E00059_alpha_0,marts_E00059,alpha,alpha,Plants,['sesq Class 1'],False
marts_E00730_beta_0,marts_E00730,beta,beta,Plants,['mono Class 1'],False
marts_E00730_alpha_0,marts_E00730,alpha,alpha,Plants,['mono Class 1'],False
marts_E00624_beta_0,marts_E00624,beta,beta,Plants,['sesq Class 1'],False
marts_E00624_alpha_0,marts_E00624,alpha,alpha,Plants,['sesq Class 1'],False
