DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	GGPP_p
A0A5C7HTK5	0.0424329
A0A8J2N6H6	0.206066
A0A1V5TWY6	0.0948674
A0A949XP54	0.0528782
A0A938AS23	0.0399641
A0A9P6JAU0	0.36599
A0A6N9NKM4	0.0600371
A0A7Y5SYI5	0.0783848
A0A362XLW9	0.0965759
A0A972R8P6	0.0787849
A0A384JQ51	0.154182
A0AAJ2TDP0	0.0558373
A0A349DJ65	0.0771618
A0A6P6TAW4	0.0465266
A0A841CJ28	0.0847267
A0A2K5AT03	0.100785
A0A2S7P8J3	0.125444
A0A815MC16	0.0720095
A0A522HA83	0.0326637
A0A7W0J6C2	0.0626191
A0A940KGD8	0.0753578
A0A2N2XK15	0.0763935
A0A8J5FHF1	0.049145
A0A840Q571	0.0737763
A0AAN7Q789	0.0420041
E5A7E2	0.124144
A0AAF1AVX0	0.0362027
H2BU13	0.0485145
A0A849E6P4	0.0715257
A0A7X5EED4	0.0639381
A0A935RS65	0.0635567
A0A959M8E0	0.0568589
A0A959R5N9	0.0616759
A0A6L5E332	0.0530306
A0A7C3R9P0	0.155008
A0A954T1V2	0.0730777
A0A381Z6X0	0.0919641
S8BQM8	0.17069
A0A8H7X4H8	0.100982
A0A955RKV0	0.249451
A0AAJ2ZF31	0.0865247
I4VYH5	0.0323271
M5W5C9	0.0404614
X5DIC3	0.0474101
D9SUK4	0.0475489
E3S8Z3	0.10038
A6GKF9	0.0992895
A0A8T7JT52	0.0739905
A0A7R7ZXS0	0.12284
A0A1B8C154	0.103739
A0AAD7CWW9	0.107804
A0A8J2KTG1	0.450151
A0A453C3G6	0.0494017
A0A1F7WVI2	0.0485676
A0AAP0RUW2	0.0384587
U7VBE1	0.0688135
A0A8J2LF38	0.38235
A0AAD5IKK0	0.0502209
A0A1H7RZT7	0.0596619
A0A081QBK9	0.0790456
A0A8S4GHC7	0.0577333
A0A8H6YYI7	0.124987
A0A661YZJ7	0.0622851
A0A1Q7BAE9	0.180385
A0A835X289	0.101896
A0A8K0Y4Q5	0.122392
A0A6P5ECR0	0.0478816
A0A8J2KB18	0.508014
A0A3B0TUD5	0.0475627
A0A0G0MEM1	0.0918007
A0A099CWH0	0.0373942
A0A2I8DM01	0.124691
A0AAJ5WVI2	0.0653565
A0A1J5DPI2	0.0740233
A0A7C9AK93	0.0426861
A0A2V8N7Z9	0.0875748
A0A364KP06	0.182165
A0A7C5LAW0	0.101095
A0A1Q7D4L9	0.107936
A0A819RVC0	0.0414923
A0A0L6U2M0	0.0518437
Q185E6	0.0629224
A0A3F3PY94	0.130934
A0A550GSS6	0.160189
A0A2N2MWN8	0.047601
A0A2S9YEA9	0.0952269
A0AAU7DNA2	0.0480108
A0A4V6DW27	0.127554
A0A7J3BDX2	0.0869631
A0A7Y1V6Q7	0.0757482
A0A7Y6WR12	0.0450137
A0A151F1W1	0.140144
A0AA40EJF4	0.149465
A0A1M4N6Q5	0.0562884
A0AAE3KKH6	0.0712429
A0A1V9EVX9	0.0688367
A0A7C9TYM6	0.051227
A0A174HC34	0.037077
A0A8H6XMQ1	0.167594
A0A843BHE9	0.116471
A0A958EA20	0.0979397
A0A6A7K4J1	0.0436191
A0A534LUZ5	0.094399
A0A8X7UD64	0.0566464
A0A815GG47	0.0480973
A0A1F8U9Z9	0.0512626
A0A7X6TXB9	0.0475503
A0A7X8J093	0.0551955
A0A6A7AQY6	0.13074
A0A2E1W7X2	0.077779
Q01J93	0.0489352
U5F5T7	0.0567427
U2EKI4	0.0483598
A0A847G166	0.0435956
A0A7Y2G285	0.043634
A0A497AMF9	0.0686335
A0A2Z2NUP9	0.0255787
A0A939H8M3	0.0462035
A0A9E0AUL3	0.0554629
A0AAD7EH55	0.173045
A0A1W1XBH0	0.0611288
N1PCM6	0.134793
A0A6G2RRG9	0.0690014
A0A1D2WW63	0.206772
A0A1B6BCY8	0.0481404
A0A7X8R3W7	0.0542261
A0A8T4P733	0.125324
A0A4R7VFQ3	0.0783264
A0A374HYM4	0.105841
A0AAD4KG93	0.107768
A0AA40EFU6	0.1707
A0A6A6VZ19	0.0934955
A0A956KIH0	0.0717127
A0A8J2KYP7	0.290062
A0A3N5RJA9	0.0395692
A0A4Q5QV35	0.0758136
A0A7I8DJZ2	0.0556204
A0A1F4ZVF3	0.0586688
A0A9W9S486	0.149404
A0A4S3KFQ7	0.0351049
A0A953LBE7	0.0741137
N1QNR1	0.125887
H1YX77	0.0820784
C4ZEM0	0.0826279
A0A6J0ZJ75	0.0451052
A0A7X7WLK7	0.0868182
A0A1H0QEJ3	0.0461148
A0A2K8SKL8	0.0734766
A9F9T5	0.235272
A0AAE1C8G3	0.142717
A0A5S9IQ85	0.22685
A0A972IDB8	0.0585854
A0A0D1Z9P9	0.196861
A0A2A5E6Y4	0.0821635
A0A7W7FTQ8	0.096719
A0A4Q7VIN9	0.049354
A0A9Q8P973	0.138543
A0A976CEE7	0.0789387
A0A7C4XEE9	0.0922264
A0A533VI05	0.107797
A0A9P7ZFL0	0.159286
A0A7J4S7F3	0.083697
B8MD00	0.117742
A0A2P6RQA3	0.0403342
A0A537GEN9	0.192389
A0A559PIF6	0.0666948
A0A822C085	0.0461456
A0A9W4UWX1	0.103425
A0A2V5TZS0	0.0726008
