DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	Phylo distance to closest MARTS-DB
A0A959R5N9	5.0241
A0A6L5E332	5.06823
A0A7C3R9P0	5.5491
A0A954T1V2	5.44492
A0A381Z6X0	3.48312
S8BQM8	4.80826
A0A8H7X4H8	4.98761
A0A955RKV0	2.12382
A0AAJ2ZF31	3.24809
I4VYH5	4.58913
M5W5C9	4.72625
X5DIC3	4.89784
D9SUK4	4.86206
E3S8Z3	5.05212
A6GKF9	4.88775
A0A8T7JT52	5.25478
A0A7R7ZXS0	5.14439
A0A1B8C154	5.28632
A0AAD7CWW9	5.02275
A0A8J2KTG1	6.50363
A0A453C3G6	4.99
A0A1F7WVI2	5.42914
A0AAP0RUW2	4.61212
U7VBE1	3.26733
A0A8J2LF38	6.2404
A0AAD5IKK0	4.75633
A0A1H7RZT7	5.70667
A0A081QBK9	5.19168
A0A8S4GHC7	2.02733
A0A8H6YYI7	4.81075
A0A661YZJ7	5.11491
A0A1Q7BAE9	4.62743
A0A835X289	3.41272
A0A8K0Y4Q5	3.51968
A0A6P5ECR0	4.64171
A0A8J2KB18	6.36725
A0A3B0TUD5	4.48554
A0A0G0MEM1	3.40949
A0A099CWH0	5.30482
A0A2I8DM01	3.12853
A0AAJ5WVI2	5.75257
A0A1J5DPI2	5.10658
A0A7C9AK93	4.52089
A0A2V8N7Z9	5.49234
A0A364KP06	6.69462
A0A7C5LAW0	6.09568
A0A1Q7D4L9	5.86391
A0A819RVC0	5.37571
A0A0L6U2M0	4.37618
Q185E6	5.14934
A0A3F3PY94	6.70311
A0A550GSS6	2.71249
A0A2N2MWN8	4.88385
A0A2S9YEA9	4.95007
A0AAU7DNA2	5.44374
A0A4V6DW27	5.01687
A0A7J3BDX2	5.60583
A0A7Y1V6Q7	5.57661
A0A7Y6WR12	4.64949
A0A151F1W1	2.9953
A0AA40EJF4	4.60853
A0A1M4N6Q5	4.89063
A0AAE3KKH6	5.31602
A0A1V9EVX9	5.61647
A0A7C9TYM6	5.30334
A0A174HC34	4.58659
A0A8H6XMQ1	5.476
A0A843BHE9	3.51734
A0A958EA20	3.35173
A0A6A7K4J1	5.29289
A0A534LUZ5	5.29613
A0A8X7UD64	4.92738
A0A815GG47	5.11307
A0A1F8U9Z9	4.14049
A0A7X6TXB9	5.25281
A0A7X8J093	5.49679
A0A6A7AQY6	5.70672
A0A2E1W7X2	3.35467
Q01J93	5.01037
U5F5T7	4.80561
U2EKI4	5.16322
A0A847G166	4.71029
A0A7Y2G285	4.5641
A0A497AMF9	5.41025
A0A2Z2NUP9	2.86225
A0A939H8M3	5.19934
A0A9E0AUL3	4.97262
A0AAD7EH55	5.28793
A0A1W1XBH0	4.46794
N1PCM6	5.08996
A0A6G2RRG9	6.45355
A0A1D2WW63	5.50325
A0A1B6BCY8	4.99944
A0A7X8R3W7	4.63195
A0A8T4P733	3.83619
A0A4R7VFQ3	4.34408
A0A374HYM4	4.07561
A0AAD4KG93	5.04065
A0AA40EFU6	4.61233
A0A6A6VZ19	5.13464
A0A956KIH0	4.88027
A0A8J2KYP7	6.61612
A0A3N5RJA9	4.58816
A0A4Q5QV35	1.46356
A0A7I8DJZ2	5.42706
A0A1F4ZVF3	6.14361
A0A9W9S486	6.44973
A0A4S3KFQ7	4.65314
A0A953LBE7	4.63025
N1QNR1	5.31268
H1YX77	2.35134
C4ZEM0	3.98639
A0A6J0ZJ75	4.73656
A0A7X7WLK7	4.27986
A0A1H0QEJ3	4.48196
A0A2K8SKL8	5.55792
A9F9T5	5.05506
A0AAE1C8G3	4.77062
A0A5S9IQ85	4.27246
A0A972IDB8	5.13209
A0A0D1Z9P9	4.45932
A0A2A5E6Y4	4.79443
A0A7W7FTQ8	7.09845
A0A4Q7VIN9	5.2573
A0A9Q8P973	5.43123
A0A976CEE7	3.59809
A0A7C4XEE9	5.25861
A0A533VI05	3.53703
A0A9P7ZFL0	5.10559
A0A7J4S7F3	5.15414
B8MD00	6.34966
A0A2P6RQA3	4.79852
A0A537GEN9	4.41085
A0A559PIF6	5.27946
A0A822C085	5.37468
A0A9W4UWX1	3.70786
A0A2V5TZS0	6.36212
