DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	FPP_p
A0A524HVY6	0.0166401
A0A6D2IPX7	0.0187177
A0AAN7UHU2	0.0381849
A0A6P5GSG1	0.0205382
A0A1D8TTA1	0.0305067
A0A137NY97	0.155164
A0AAD7E0U8	0.00648601
A0A4Z0Z784	0.0393253
A0A8J2P8V8	0.274513
A0A5B7X7V1	0.0200165
A0A9P9DM28	0.0946921
A0A2P5P4R7	0.0223542
A0AAN6V6L2	0.119869
A0A2Z4W8H9	0.0212055
A0A5C7HTK5	0.0210478
A0A8J2N6H6	0.549173
A0A1V5TWY6	0.0458108
A0A949XP54	0.0206866
A0A938AS23	0.00930504
A0A9P6JAU0	0.216695
A0A6N9NKM4	0.0221883
A0A7Y5SYI5	0.0271693
A0A362XLW9	0.0291751
A0A972R8P6	0.0328775
A0A384JQ51	0.0949691
A0AAJ2TDP0	0.0160806
A0A349DJ65	0.0312365
A0A6P6TAW4	0.0226907
A0A841CJ28	0.0308123
A0A2K5AT03	0.0347002
A0A2S7P8J3	0.0854142
A0A815MC16	0.0402853
A0A522HA83	0.0177549
A0A7W0J6C2	0.0245827
A0A940KGD8	0.0273133
A0A2N2XK15	0.0404526
A0A8J5FHF1	0.0251374
A0A840Q571	0.0299193
A0AAN7Q789	0.022965
E5A7E2	0.0921393
A0AAF1AVX0	0.0184248
H2BU13	0.0186162
A0A849E6P4	0.0259026
A0A7X5EED4	0.0196458
A0A935RS65	0.0224608
A0A959M8E0	0.0208072
A0A959R5N9	0.0259803
A0A6L5E332	0.0163252
A0A7C3R9P0	0.0675162
A0A954T1V2	0.0436417
A0A381Z6X0	0.0333244
S8BQM8	0.109468
A0A8H7X4H8	0.0759161
A0A955RKV0	0.19939
A0AAJ2ZF31	0.0219297
I4VYH5	0.0169368
M5W5C9	0.0229572
X5DIC3	0.0169243
D9SUK4	0.0142325
E3S8Z3	0.0723521
A6GKF9	0.0286888
A0A8T7JT52	0.0315277
A0A7R7ZXS0	0.090949
A0A1B8C154	0.0788278
A0AAD7CWW9	0.0885413
A0A8J2KTG1	0.486679
A0A453C3G6	0.0248549
A0A1F7WVI2	0.0202984
A0AAP0RUW2	0.0209782
U7VBE1	0.023484
A0A8J2LF38	0.30691
A0AAD5IKK0	0.0211182
A0A1H7RZT7	0.0224073
A0A081QBK9	0.0361705
A0A8S4GHC7	0.0248182
A0A8H6YYI7	0.0911164
A0A661YZJ7	0.0258719
A0A1Q7BAE9	0.147746
A0A835X289	0.0439331
A0A8K0Y4Q5	0.0486805
A0A6P5ECR0	0.0202906
A0A8J2KB18	0.640617
A0A3B0TUD5	0.0198615
A0A0G0MEM1	0.0418717
A0A099CWH0	0.0160499
A0A2I8DM01	0.04028
A0AAJ5WVI2	0.0228631
A0A1J5DPI2	0.0281759
A0A7C9AK93	0.023904
A0A2V8N7Z9	0.0367444
A0A364KP06	0.0847993
A0A7C5LAW0	0.0525491
A0A1Q7D4L9	0.0352167
A0A819RVC0	0.0172031
A0A0L6U2M0	0.016269
Q185E6	0.0203249
A0A3F3PY94	0.0618127
A0A550GSS6	0.0629012
A0A2N2MWN8	0.0179184
A0A2S9YEA9	0.0344998
A0AAU7DNA2	0.0207013
A0A4V6DW27	0.110423
A0A7J3BDX2	0.0321774
A0A7Y1V6Q7	0.0312183
A0A7Y6WR12	0.0184836
A0A151F1W1	0.0620404
A0AA40EJF4	0.106884
A0A1M4N6Q5	0.0271849
A0AAE3KKH6	0.0293224
A0A1V9EVX9	0.0219523
A0A7C9TYM6	0.0226554
A0A174HC34	0.015679
A0A8H6XMQ1	0.109017
A0A843BHE9	0.0414421
A0A958EA20	0.0434939
A0A6A7K4J1	0.0134813
A0A534LUZ5	0.0365461
A0A8X7UD64	0.028858
A0A815GG47	0.0180383
A0A1F8U9Z9	0.0149682
A0A7X6TXB9	0.0168646
A0A7X8J093	0.0186196
A0A6A7AQY6	0.0736794
A0A2E1W7X2	0.029879
Q01J93	0.0250119
U5F5T7	0.0173457
U2EKI4	0.0153921
A0A847G166	0.0151716
A0A7Y2G285	0.0144989
A0A497AMF9	0.0256871
A0A2Z2NUP9	0.016692
A0A939H8M3	0.0156156
A0A9E0AUL3	0.0269143
A0AAD7EH55	0.0933213
A0A1W1XBH0	0.0203316
N1PCM6	0.0962778
A0A6G2RRG9	0.0233249
A0A1D2WW63	0.140981
A0A1B6BCY8	0.0168236
A0A7X8R3W7	0.0154798
A0A8T4P733	0.0688371
A0A4R7VFQ3	0.029169
A0A374HYM4	0.0485044
A0AAD4KG93	0.0872627
A0AA40EFU6	0.118195
A0A6A6VZ19	0.0774728
A0A956KIH0	0.0264496
A0A8J2KYP7	0.214908
A0A3N5RJA9	0.0136614
A0A4Q5QV35	0.01118
A0A7I8DJZ2	0.021555
A0A1F4ZVF3	0.0295723
A0A9W9S486	0.0691188
A0A4S3KFQ7	0.017881
A0A953LBE7	0.0287083
N1QNR1	0.0970788
H1YX77	0.0357033
C4ZEM0	0.0472911
A0A6J0ZJ75	0.0218057
A0A7X7WLK7	0.0310852
A0A1H0QEJ3	0.0155771
A0A2K8SKL8	0.0296859
A9F9T5	0.119626
A0AAE1C8G3	0.0869784
A0A5S9IQ85	0.15773
A0A972IDB8	0.0197399
A0A0D1Z9P9	0.136067
A0A2A5E6Y4	0.0376325
A0A7W7FTQ8	0.0335248
A0A4Q7VIN9	0.0157526
A0A9Q8P973	0.102271
A0A976CEE7	0.0326049
A0A7C4XEE9	0.0370298
A0A533VI05	0.0383451
A0A9P7ZFL0	0.103406
A0A7J4S7F3	0.0337961
B8MD00	0.0599637
A0A2P6RQA3	0.0218376
A0A537GEN9	0.140295
A0A559PIF6	0.0242186
A0A822C085	0.0217753
A0A9W4UWX1	0.0325313
A0A2V5TZS0	0.0390581
