DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	TPS_p_calibrated (0.95–1.00)
A0A2S6C3T5	0.994361
A0A2E1W7X2	0.995769
A0AAV9WAS7	0.990211
A0A1L9BGH8	0.994814
A0A5B8VCF3	0.997713
A0A8T3NCP5	0.97195
Q0V0A0	0.981781
A0A6A6KVE3	0.96079
A0A662XU89	0.991434
A0AAU8HS06	0.995303
A0A8T4DYH9	0.996
A0A6N7P0V2	0.953476
A0A1Q7MFF6	0.999978
A0A4U7AS88	0.99969
A0A8J2P8V8	0.999872
A0A449BL58	0.99968
A0A939H8M3	0.980351
A0A017T4P0	0.998177
A0A8T7GJ49	0.976025
A0A976PSJ7	0.996186
A0A9P5VGI0	0.99903
A0A7X9JA85	0.989402
A0A512RJ56	0.979788
A0A7S1CP13	0.999407
A0A534L8I5	0.99853
A0A553GR34	0.999158
A0A922ND47	0.992633
A0A2H3FSP9	0.998173
A0A3N5KZV7	0.994893
A0A813XYE2	0.978017
A0A8H3URY3	0.973934
A0A4Z1HPE7	0.999318
A0A317VCP2	0.999949
A0A8J5FHF1	0.978369
A0A381YE87	0.961833
A0A1G0GBF6	0.999968
A0A9N9LXD5	0.991033
A0A9P9MTS7	0.990271
A0AAD4CWX3	0.999979
A0A3N5UWI8	0.989204
A0A384JQC9	0.985829
A0A8J7Y590	0.993886
A0A7Y5SYI5	0.995498
A0A2S7PPE1	0.988259
A0A1I7GSV9	0.987418
A0A951SCP9	0.989016
A0A4Q5QV35	0.963617
W9AQ76	0.967106
A0A1F5G6X2	0.998018
A0A1F6CPF9	0.999064
A0A2M8JTI2	0.992444
A0A4U1IQM3	0.995732
A0A2G6RBG3	0.987976
A0A6P4AA35	0.972925
A0A948UI18	0.997256
A0A2P5P4R7	0.996065
A0A2N3HZD0	0.991757
A0A318CV38	0.998539
A0A3B6C7V5	0.970142
A0A522STR5	0.96806
A0AAP0RUW2	0.959913
A0A4Q3UTC5	0.999642
A0A0E3PBJ9	0.999897
A0A951F388	0.997443
A0A8G1RBF0	0.974571
A0A9J7BSY3	0.997804
A0A8J8KK02	0.986468
A0A6L5E332	0.989471
A0A822BDV8	0.966949
A0A081QBK9	0.985179
A0RY54	0.955831
A0A959QGM9	0.98008
A0A1H9S2S6	0.986768
A0A949DZY7	0.95387
A0AAD9Z2F4	0.999989
A0A395I0H0	0.959957
A0A4R7VFQ3	0.99433
A0A5C6AYT2	0.999466
A0A1M7XWY2	0.991068
A0A0E3SJJ9	0.999943
A0AAJ0HKL4	0.980018
A0AAJ2ZF31	0.974532
A0A9X4BJD0	0.992146
A0A419W5A6	0.993629
S3BGH6	0.983022
A0A7W0G5X8	0.99503
A0A932LET1	0.999896
A9B7K7	0.992508
A0A1H7RZT7	0.989231
A0A7W1NXB3	0.991266
A0A6A7AQS4	0.997557
A0A5P8WIN9	0.970008
A0A2P5HR42	0.990923
A0AAN7UHU2	0.996472
A0A4S3KFQ7	0.968613
A0A7W4EAP4	0.992096
Q2J9I8	0.96225
A0A229X4H3	0.969703
A0A9W9FCS2	0.97972
A0A534IZH1	0.995008
A0A1M4N6Q5	0.997481
A0A1N5W510	0.994275
A0A7X7ZUI5	0.972737
A0A022QUN2	0.977121
A0A4Q7VIN9	0.992255
A0A1V5LKI6	0.984528
A0A7Y1YCA1	0.974537
A0A653G212	0.99878
A0A2G2Y5C5	0.958379
A0A9X2VFU4	0.988869
A0A1M6JAJ2	0.987936
A0A2V5X3K7	0.99967
A0A9D9V8W1	0.961863
A0A7Y6WR12	0.97091
A0A2E6SYZ7	0.99296
A0A2I4H8Z3	0.959407
A0AAN6Y5H7	0.995284
A0A9P5SNK6	0.999843
A0A1F9FEP5	0.98988
A0A9P9S7F1	0.993664
A0A484IBD7	0.977736
A0AAD4CLB1	0.991052
A0A1Y2ET84	0.999235
A0A1F5LCU4	0.992561
A0A7C6Y0D2	0.955806
A0A819LIG3	0.996195
A0A950RQ96	0.999668
A0A2D3UP43	0.996991
F0ZD71	0.99003
A0A1B6BCY8	0.986691
A0A3N4M9R3	0.980621
A0A395NWC3	0.995496
A0A8S9DVI3	0.996275
A0A7C9TYM6	0.963904
A0A935RS65	0.987659
